,uniqueId_nounit,id,firstdate,time,groupRef_influx,equipRef_fix,equipRef_influx,navName_influx,siteRef,typeRef,unit_sspark,unit_influx,kind
954,Pharmacy Rm 3206 VAV-3S006 Pharmacy Floor 3 Flow Alarm Pharmacy 3S006_FLOW_ALARM_BV,@p:ubcv:r:236c8a02-131b2cc8 Pharmacy Rm 3206 VAV-3S006 3S006_FLOW_ALARM_BV,2019-11-21,2019-11-21 23:03:59,Pharmacy Floor 3,Pharmacy Rm 3206 VAV-3S006,Rm 3206 VAV-3S006,Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,3S006_FLOW_ALARM_BV,,_,Bool
955,Pharmacy Elec Submeters LEED-6N4LW1 Pharmacy Utilities 6N4LW1_3_4D1 Pharmacy 6N4LW1_3_4D1,@p:ubcv:r:236c8d33-daca885a Pharmacy Elec Submeters LEED-6N4LW1 6N4LW1_3_4D1,2020-03-12,2020-03-12 13:00:00,Pharmacy Utilities,Pharmacy Elec Submeters LEED-6N4LW1,Elec Submeters LEED-6N4LW1,6N4LW1_3_4D1,@p:ubcv:r:20545206-9300bfc5 Pharmacy,6N4LW1_3_4D1,,_,Bool
956,Pharmacy AHU-07 SF Pharmacy Air Systems AHU7_SF_VFD_COMM_ALRM_GV Pharmacy AHU7_SF_VFD_COMM_ALRM_GV,@p:ubcv:r:236c8a99-c4b4a2b9 Pharmacy AHU-07 SF AHU7_SF_VFD_COMM_ALRM_GV,2019-10-27,2019-10-27 22:55:02,Pharmacy Air Systems,Pharmacy AHU-07 SF,AHU-07 SF,AHU7_SF_VFD_COMM_ALRM_GV,@p:ubcv:r:20545206-9300bfc5 Pharmacy,AHU7_SF_VFD_COMM_ALRM_GV,,_,Bool
957,Pharmacy Rm 4310 EAV-4E019 Pharmacy Floor 4 Flow Alarm Pharmacy 4E019_FLOW_ALARM_BV,@p:ubcv:r:236c8a02-88a631d6 Pharmacy Rm 4310 EAV-4E019 4E019_FLOW_ALARM_BV,2019-06-11,2019-06-11 19:28:16,Pharmacy Floor 4,Pharmacy Rm 4310 EAV-4E019,Rm 4310 EAV-4E019,Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,4E019_FLOW_ALARM_BV,,_,Bool
958,Pharmacy Rm 6303 VAV-6S034 Pharmacy Floor 6 Flow Alarm Pharmacy 6S034_FLOW_ALARM_BV,@p:ubcv:r:236c8a02-635dd9b6 Pharmacy Rm 6303 VAV-6S034 6S034_FLOW_ALARM_BV,2019-09-03,2019-09-03 20:24:56,Pharmacy Floor 6,Pharmacy Rm 6303 VAV-6S034,Pharmacy Rm 6303 VAV-6S034,Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,6S034_FLOW_ALARM_BV,,_,Bool
959,Pharmacy Rm 4208 VAV-4S008 Pharmacy Floor 4 Exhaust Air Flow Alarm Pharmacy 4S008_4E011_EXH_FLOW_ALARM_BV,@p:ubcv:r:236c89f8-68fc27c4 Pharmacy Rm 4208 VAV-4S008 4S008_4E011_EXH_FLOW_ALARM_BV,2019-09-20,2019-09-20 07:25:09,Pharmacy Floor 4,Pharmacy Rm 4208 VAV-4S008,Rm 4208 VAV-4S008,Exhaust Air Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,4S008_4E011_EXH_FLOW_ALARM_BV,,_,Bool
960,Pharmacy LEF-2 Pharmacy Air Systems EF2_LAG_FAN_FAULT Pharmacy EF2_LAG_FAN_FAULT,@p:ubcv:r:236c8a58-b6c887f5 Pharmacy LEF-2 EF2_LAG_FAN_FAULT,2020-01-08,2020-01-08 16:02:35,Pharmacy Air Systems,Pharmacy LEF-2,LEF-2,EF2_LAG_FAN_FAULT,@p:ubcv:r:20545206-9300bfc5 Pharmacy,EF2_LAG_FAN_FAULT,,_,Bool
961,Pharmacy Rm 3103 VAV-3S027 Pharmacy Floor 3 Discharge Air Damper Open Cmd Pharmacy VAV_3S027_Dmp_Open,@p:ubcv:r:236c8ebd-05197547 Pharmacy Rm 3103 VAV-3S027 VAV_3S027_Dmp_Open,2020-01-07,2020-01-07 18:31:22,Pharmacy Floor 3,Pharmacy Rm 3103 VAV-3S027,Rm 3103 VAV-3S027,Discharge Air Damper Open Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_3S027_Dmp_Open,,_,Bool
962,Pharmacy Windows Pharmacy Floor 5 L5_SE_OPW_OPEN Pharmacy L5_SE_OPW_OPEN,@p:ubcv:r:2391c9c7-1cb8746f Pharmacy Windows L5_SE_OPW_OPEN,2020-01-06,2020-01-06 00:06:14,Pharmacy Floor 5,Pharmacy Windows,Windows,L5_SE_OPW_OPEN,@p:ubcv:r:20545206-9300bfc5 Pharmacy,L5_SE_OPW_OPEN,,omit,Bool
963,Pharmacy AHU-09 SF Pharmacy Air Systems Discharge Fan Enable Cmd Pharmacy AHU9_SF_ENAB,@p:ubcv:r:236c8a99-a2f929af Pharmacy AHU-09 SF AHU9_SF_ENAB,2020-01-07,2020-01-07 15:15:00,Pharmacy Air Systems,Pharmacy AHU-09 SF,AHU-09 SF,Discharge Fan Enable Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,AHU9_SF_ENAB,,_,Bool
964,Pharmacy Rm 6302 VAV-6S055 Pharmacy Floor 6 Flow Alarm Pharmacy 6S055_FLOW_ALARM_BV,@p:ubcv:r:236c8a02-f391d465 Pharmacy Rm 6302 VAV-6S055 6S055_FLOW_ALARM_BV,2019-09-03,2019-09-03 20:24:56,Pharmacy Floor 6,Pharmacy Rm 6302 VAV-6S055,Pharmacy Rm 6302 VAV-6S055,Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,6S055_FLOW_ALARM_BV,,_,Bool
965,Pharmacy Rm 6104 VAV-6S010 Pharmacy Floor 6 Exhaust Air Flow Alarm Pharmacy 6S010_6E013_EXH_FLOW_ALARM_BV,@p:ubcv:r:236c89f9-a0ae1a53 Pharmacy Rm 6104 VAV-6S010 6S010_6E013_EXH_FLOW_ALARM_BV,2019-09-20,2019-09-20 07:28:29,Pharmacy Floor 6,Pharmacy Rm 6104 VAV-6S010,Rm 6104 VAV-6S010,Exhaust Air Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,6S010_6E013_EXH_FLOW_ALARM_BV,,_,Bool
966,Pharmacy LEF-3 EF-3B Pharmacy Air Systems EF3_F2_ISOD Pharmacy EF3_F2_ISOD,@p:ubcv:r:236c8ab6-e2a03787 Pharmacy LEF-3 EF-3B EF3_F2_ISOD,2020-01-16,2020-01-16 19:18:20,Pharmacy Air Systems,Pharmacy LEF-3 EF-3B,LEF-3 EF-3B,EF3_F2_ISOD,@p:ubcv:r:20545206-9300bfc5 Pharmacy,EF3_F2_ISOD,,Pa,Bool
967,Pharmacy LEF-3 Pharmacy Air Systems EF3_LAG_FAN_FAULT Pharmacy EF3_LAG_FAN_FAULT,@p:ubcv:r:236c8ab6-4e83fbd3 Pharmacy LEF-3 EF3_LAG_FAN_FAULT,2018-12-20,2018-12-20 20:33:22,Pharmacy Air Systems,Pharmacy LEF-3,LEF-3,EF3_LAG_FAN_FAULT,@p:ubcv:r:20545206-9300bfc5 Pharmacy,EF3_LAG_FAN_FAULT,,Pa,Bool
968,Pharmacy Elec Submeters LEED-6N6LE1 Pharmacy Utilities 6N6LE1_5_6L1 Pharmacy 6N6LE1_5_6L1,@p:ubcv:r:25fce5c3-3d67e08a Pharmacy Elec Submeters LEED-6N6LE1 6N6LE1_5_6L1,2020-03-12,2020-03-12 13:00:00,Pharmacy Utilities,Pharmacy Elec Submeters LEED-6N6LE1,Elec Submeters LEED-6N6LE1,6N6LE1_5_6L1,@p:ubcv:r:20545206-9300bfc5 Pharmacy,6N6LE1_5_6L1,,omit,Bool
969,Pharmacy Heating Plant SBLR-6 Pharmacy Hydronic Systems PHARM_SB6_HIGH_STACK_TEMP_SHUTDOWN Pharmacy PHARM_SB6_HIGH_STACK_TEMP_SHUTDOWN,@p:ubcv:r:236c89d4-3511c0ed Pharmacy Heating Plant SBLR-6 PHARM_SB6_HIGH_STACK_TEMP_SHUTDOWN,2018-10-30,2018-10-30 21:12:01,Pharmacy Hydronic Systems,Pharmacy Heating Plant SBLR-6,Heating Plant SBLR-6,PHARM_SB6_HIGH_STACK_TEMP_SHUTDOWN,@p:ubcv:r:20545206-9300bfc5 Pharmacy,PHARM_SB6_HIGH_STACK_TEMP_SHUTDOWN,,%,Bool
970,Pharmacy Windows Pharmacy Floor 3 L3_E_OPW_OPEN(REMOVE) Pharmacy L3_E_OPW_OPEN(REMOVE),@p:ubcv:r:2391c9a1-ecd811d7 Pharmacy Windows L3_E_OPW_OPEN(REMOVE),2020-01-01,2020-01-01 23:55:59,Pharmacy Floor 3,Pharmacy Windows,Windows,L3_E_OPW_OPEN(REMOVE),@p:ubcv:r:20545206-9300bfc5 Pharmacy,L3_E_OPW_OPEN(REMOVE),,omit,Bool
971,Pharmacy Rm Corr FC-407 Pharmacy Floor 4 Scheduled Occupancy Pharmacy FCU_407_SCHED,@p:ubcv:r:2391c794-cc2f95fd Pharmacy Rm Corr FC-407 FCU_407_SCHED,2020-01-07,2020-01-07 14:00:23,Pharmacy Floor 4,Pharmacy Rm Corr FC-407,Rm Corr FC-407,Scheduled Occupancy,@p:ubcv:r:20545206-9300bfc5 Pharmacy,FCU_407_SCHED,,omit,Bool
972,Pharmacy Rm 2331 VAV-2S012 Pharmacy Floor 2 Discharge Air Damper Open Cmd Pharmacy VAV_2S012_Dmp_Open,@p:ubcv:r:2391c4b6-967959e0 Pharmacy Rm 2331 VAV-2S012 VAV_2S012_Dmp_Open,2020-01-07,2020-01-07 19:58:34,Pharmacy Floor 2,Pharmacy Rm 2331 VAV-2S012,Rm 2331 VAV-2S012,Discharge Air Damper Open Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_2S012_Dmp_Open,,omit,Bool
973,Pharmacy Heating Plant SBLR-5 Pharmacy Hydronic Systems PHARM_SB5_WATER_LEVEL_SIGNAL_FAILED Pharmacy PHARM_SB5_WATER_LEVEL_SIGNAL_FAILED,@p:ubcv:r:236c89d4-02b6cdaf Pharmacy Heating Plant SBLR-5 PHARM_SB5_WATER_LEVEL_SIGNAL_FAILED,2018-10-30,2018-10-30 21:12:01,Pharmacy Hydronic Systems,Pharmacy Heating Plant SBLR-5,Heating Plant SBLR-5,PHARM_SB5_WATER_LEVEL_SIGNAL_FAILED,@p:ubcv:r:20545206-9300bfc5 Pharmacy,PHARM_SB5_WATER_LEVEL_SIGNAL_FAILED,,%,Bool
974,Pharmacy Rm 3300b FC-305 Pharmacy Floor 3 Discharge Fan Run Cmd Pharmacy FCU_305_C,@p:ubcv:r:2391c51c-a3ab9b3f Pharmacy Rm 3300b FC-305 FCU_305_C,2019-12-04,2019-12-04 20:07:28,Pharmacy Floor 3,Pharmacy Rm 3300b FC-305,Rm 3300b FC-305,Discharge Fan Run Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,FCU_305_C,,omit,Bool
975,Pharmacy CT-1B Pharmacy Hydronic Systems Cooling Tower Enable Cmd Pharmacy CT1B_ENAB,@p:ubcv:r:236c8acd-88eb9648 Pharmacy CT-1B CT1B_ENAB,2020-03-31,2020-03-31 01:26:50,Pharmacy Hydronic Systems,Pharmacy CT-1B,CT-1B,Cooling Tower Enable Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,CT1B_ENAB,,kPa,Bool
976,Pharmacy LEF-4 Pharmacy Air Systems EF4_LEAD_FAN_FAIL_BV Pharmacy EF4_LEAD_FAN_FAIL_BV,@p:ubcv:r:236c8ae6-6b80bf46 Pharmacy LEF-4 EF4_LEAD_FAN_FAIL_BV,2019-09-20,2019-09-20 07:25:32,Pharmacy Air Systems,Pharmacy LEF-4,LEF-4,EF4_LEAD_FAN_FAIL_BV,@p:ubcv:r:20545206-9300bfc5 Pharmacy,EF4_LEAD_FAN_FAIL_BV,,_,Bool
977,Pharmacy Rm 4327 VAV-4S053 Pharmacy Floor 4 Operation Mode Pharmacy VAV_4S053_OperationMode,@p:ubcv:r:2391c87b-d3340362 Pharmacy Rm 4327 VAV-4S053 VAV_4S053_OperationMode,2019-11-19,2019-11-19 14:00:02,Pharmacy Floor 4,Pharmacy Rm 4327 VAV-4S053,Pharmacy Rm 4327 VAV-4S053,Operation Mode,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_4S053_OperationMode,,omit,Str
978,Pharmacy B405b EAV-BE080 Pharmacy Floor 0 Alarm Pharmacy BS010_CAGE_EXH_AFLW_AL_BV,@p:ubcv:r:236c8a40-10a77be7 Pharmacy B405b EAV-BE080 BS010_CAGE_EXH_AFLW_AL_BV,2019-03-19,2019-03-19 15:46:35,Pharmacy Floor 0,Pharmacy B405b EAV-BE080,B405b EAV-BE080,Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,BS010_CAGE_EXH_AFLW_AL_BV,,omit,Bool
979,Pharmacy Rm B220 EAV-BS033 Pharmacy Floor 0 Alarm Pharmacy BS033_SUP_FLOW_AL_BV,@p:ubcv:r:236c8a4c-639da557 Pharmacy Rm B220 EAV-BS033 BS033_SUP_FLOW_AL_BV,2019-09-20,2019-09-20 16:21:38,Pharmacy Floor 0,Pharmacy Rm B220 EAV-BS033,Rm B220 EAV-BS033,Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,BS033_SUP_FLOW_AL_BV,,%,Bool
980,Pharmacy Rm 4209a VAV-4S007 Pharmacy Floor 4 Discharge Air Flow Alarm Pharmacy 4S007_4E005_SUP_FLOW_ALARM_BV,@p:ubcv:r:236c89f8-5238e8f2 Pharmacy Rm 4209a VAV-4S007 4S007_4E005_SUP_FLOW_ALARM_BV,2019-11-21,2019-11-21 22:51:26,Pharmacy Floor 4,Pharmacy Rm 4209a VAV-4S007,Rm 4209a VAV-4S007,Discharge Air Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,4S007_4E005_SUP_FLOW_ALARM_BV,,_,Bool
981,Pharmacy Rm 6305a VAV-6S038 Pharmacy Floor 6 Exhaust Air Flow Alarm Pharmacy 6S038_6E046_EXH_FLOW_ALARM_BV,@p:ubcv:r:236c89f9-e63a476b Pharmacy Rm 6305a VAV-6S038 6S038_6E046_EXH_FLOW_ALARM_BV,2019-06-11,2019-06-11 19:43:45,Pharmacy Floor 6,Pharmacy Rm 6305a VAV-6S038,Rm 6305a VAV-6S038,Exhaust Air Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,6S038_6E046_EXH_FLOW_ALARM_BV,,_,Bool
982,Pharmacy Rm 3122 VAV-3S001 Pharmacy Floor 3 Occupancy Sensor Pharmacy VAV_3S001_MOTION,@p:ubcv:r:236c8f9b-089286d3 Pharmacy Rm 3122 VAV-3S001 VAV_3S001_MOTION,2020-01-07,2020-01-07 16:43:06,Pharmacy Floor 3,Pharmacy Rm 3122 VAV-3S001,Rm 3122 VAV-3S001,Occupancy Sensor,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_3S001_MOTION,,_,Bool
983,Pharmacy AHU-14 SF Pharmacy Air Systems AHU14_SF_VFD_COMM_ALRM_GV Pharmacy AHU14_SF_VFD_COMM_ALRM_GV,@p:ubcv:r:236c8ab6-2f8bac03 Pharmacy AHU-14 SF AHU14_SF_VFD_COMM_ALRM_GV,2019-09-20,2019-09-20 07:24:33,Pharmacy Air Systems,Pharmacy AHU-14 SF,AHU-14 SF,AHU14_SF_VFD_COMM_ALRM_GV,@p:ubcv:r:20545206-9300bfc5 Pharmacy,AHU14_SF_VFD_COMM_ALRM_GV,,_,Bool
984,Pharmacy Rm 6210 FC-602 Pharmacy Floor 6 Discharge Fan Run Cmd Pharmacy FCU_602_C,@p:ubcv:r:2391be54-b13ce246 Pharmacy Rm 6210 FC-602 FCU_602_C,2020-01-07,2020-01-07 21:15:32,Pharmacy Floor 6,Pharmacy Rm 6210 FC-602,Rm 6210 FC-602,Discharge Fan Run Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,FCU_602_C,,omit,Bool
985,Pharmacy Rm 3321 VAV-3S008 Pharmacy Floor 3 Operation Mode Pharmacy VAV_3S008_OperationMode,@p:ubcv:r:2391c619-94aa01b9 Pharmacy Rm 3321 VAV-3S008 VAV_3S008_OperationMode,2020-01-07,2020-01-07 19:36:06,Pharmacy Floor 3,Pharmacy Rm 3321 VAV-3S008,Rm 3321 VAV-3S008,Operation Mode,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_3S008_OperationMode,,omit,Str
986,Pharmacy Rm 5310f VAV-5S054 Pharmacy Floor 5 Exhaust Air Flow Alarm Pharmacy 5S054_5E025_EXH_FLOW_ALARM_BV,@p:ubcv:r:236c89f8-c6662a81 Pharmacy Rm 5310f VAV-5S054 5S054_5E025_EXH_FLOW_ALARM_BV,2019-06-11,2019-06-11 19:43:45,Pharmacy Floor 5,Pharmacy Rm 5310f VAV-5S054,Rm 5310f VAV-5S054,Exhaust Air Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,5S054_5E025_EXH_FLOW_ALARM_BV,,_,Bool
987,Pharmacy Heating Plant Pharmacy Hydronic Systems BLR_LAG_LO_BLR_FAIL Pharmacy BLR_LAG_LO_BLR_FAIL,@p:ubcv:r:236c8acc-fdd24950 Pharmacy Heating Plant BLR_LAG_LO_BLR_FAIL,2019-07-15,2019-07-15 19:46:53,Pharmacy Hydronic Systems,Pharmacy Heating Plant,Heating Plant,BLR_LAG_LO_BLR_FAIL,@p:ubcv:r:20545206-9300bfc5 Pharmacy,BLR_LAG_LO_BLR_FAIL,,_,Bool
988,Pharmacy Rm 4118 VAV-4S022 Pharmacy Floor 4 Discharge Air Damper Open Cmd Pharmacy VAV_4S022_Dmp_Open,@p:ubcv:r:236c8d9b-def18c5a Pharmacy Rm 4118 VAV-4S022 VAV_4S022_Dmp_Open,2020-01-07,2020-01-07 16:46:27,Pharmacy Floor 4,Pharmacy Rm 4118 VAV-4S022,Rm 4118 VAV-4S022,Discharge Air Damper Open Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_4S022_Dmp_Open,,_,Bool
989,Pharmacy Rm 5202 EAV-5E052 Pharmacy Floor 5 Flow Alarm Pharmacy 5E052_FLOW_ALARM_BV,@p:ubcv:r:236c8a04-1a8a6ee6 Pharmacy Rm 5202 EAV-5E052 5E052_FLOW_ALARM_BV,2019-09-20,2019-09-20 07:40:55,Pharmacy Floor 5,Pharmacy Rm 5202 EAV-5E052,Rm 5202 EAV-5E052,Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,5E052_FLOW_ALARM_BV,,_,Bool
990,Pharmacy Rm 2201 FC-206 Pharmacy Floor 2 FCU_206_NSB_CLG_BV Pharmacy FCU_206_NSB_CLG_BV,@p:ubcv:r:2391bb4a-fe4f2cd4 Pharmacy Rm 2201 FC-206 FCU_206_NSB_CLG_BV,2020-04-18,2020-04-18 20:16:01,Pharmacy Floor 2,Pharmacy Rm 2201 FC-206,Rm 2201 FC-206,FCU_206_NSB_CLG_BV,@p:ubcv:r:20545206-9300bfc5 Pharmacy,FCU_206_NSB_CLG_BV,,omit,Bool
991,Pharmacy Rm 1105 FC-112 Pharmacy Floor 1 Discharge Fan Run Cmd Pharmacy FCU_112_C,@p:ubcv:r:2391bfd3-6aec49a8 Pharmacy Rm 1105 FC-112 FCU_112_C,2019-12-02,2019-12-02 18:02:19,Pharmacy Floor 1,Pharmacy Rm 1105 FC-112,Rm 1105 FC-112,Discharge Fan Run Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,FCU_112_C,,omit,Bool
992,Pharmacy Cooling Plant CH-1 Pharmacy Hydronic Systems Pump Run Cmd Pharmacy CHLR1_PCH1A_C,@p:ubcv:r:226cf1e9-16f662a3 Pharmacy Cooling Plant CH-1 CHLR1_PCH1A_C,2020-01-01,2020-01-01 18:37:18,Pharmacy Hydronic Systems,Pharmacy Cooling Plant CH-1,Cooling Plant CH-1,Pump Run Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,CHLR1_PCH1A_C,,_,Bool
993,Pharmacy Rm 1416 VAV-1S016 Pharmacy Floor 1 Discharge Air Flow Alarm Pharmacy 1S016_1E004_SUP_FLOW_ALARM_BV,@p:ubcv:r:236c89f8-27b14278 Pharmacy Rm 1416 VAV-1S016 1S016_1E004_SUP_FLOW_ALARM_BV,2020-01-07,2020-01-07 15:03:39,Pharmacy Floor 1,Pharmacy Rm 1416 VAV-1S016,Rm 1416 VAV-1S016,Discharge Air Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,1S016_1E004_SUP_FLOW_ALARM_BV,,_,Bool
994,Pharmacy Rm B204 EAV-BS020 Pharmacy Floor 0 Alarm Pharmacy BS020_SUP_FLOW_AL_BV,@p:ubcv:r:236c8a4d-c9bd92f3 Pharmacy Rm B204 EAV-BS020 BS020_SUP_FLOW_AL_BV,2019-09-20,2019-09-20 07:34:05,Pharmacy Floor 0,Pharmacy Rm B204 EAV-BS020,Rm B204 EAV-BS020,Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,BS020_SUP_FLOW_AL_BV,,_,Bool
995,Pharmacy Rm 5310 VAV-5S059 Pharmacy Floor 5 Discharge Air Flow Alarm Pharmacy 5S059_5E028_SUP_FLOW_ALARM_BV,@p:ubcv:r:236c89f8-d212c4a7 Pharmacy Rm 5310 VAV-5S059 5S059_5E028_SUP_FLOW_ALARM_BV,2019-09-03,2019-09-03 20:14:23,Pharmacy Floor 5,Pharmacy Rm 5310 VAV-5S059,Rm 5310 VAV-5S059,Discharge Air Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,5S059_5E028_SUP_FLOW_ALARM_BV,,_,Bool
996,Pharmacy Rm 3202 VAV-3S010 Pharmacy Floor 3 Discharge Air Damper Open Cmd Pharmacy VAV_3S010_Dmp_Open,@p:ubcv:r:2391bd5d-3c411f70 Pharmacy Rm 3202 VAV-3S010 VAV_3S010_Dmp_Open,2020-01-07,2020-01-07 21:16:33,Pharmacy Floor 3,Pharmacy Rm 3202 VAV-3S010,Rm 3202 VAV-3S010,Discharge Air Damper Open Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_3S010_Dmp_Open,,omit,Bool
997,Pharmacy Heating Plant SBLR-4 Pharmacy Hydronic Systems PHARM_SB4_BURNER_SW Pharmacy PHARM_SB4_BURNER_SW,@p:ubcv:r:236c89d4-18328bff Pharmacy Heating Plant SBLR-4 PHARM_SB4_BURNER_SW,2019-12-13,2019-12-13 21:28:06,Pharmacy Hydronic Systems,Pharmacy Heating Plant SBLR-4,Heating Plant SBLR-4,PHARM_SB4_BURNER_SW,@p:ubcv:r:20545206-9300bfc5 Pharmacy,PHARM_SB4_BURNER_SW,,_,Bool
998,Pharmacy Rm 3210 VAV-3S012 Pharmacy Floor 3 Occupancy Sensor Pharmacy VAV_3S012_MOTION,@p:ubcv:r:2391bc28-f176d540 Pharmacy Rm 3210 VAV-3S012 VAV_3S012_MOTION,2020-01-07,2020-01-07 16:55:14,Pharmacy Floor 3,Pharmacy Rm 3210 VAV-3S012,Rm 3210 VAV-3S012,Occupancy Sensor,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_3S012_MOTION,,omit,Bool
999,Pharmacy Rm 5502 VAV-5S067 Pharmacy Floor 5 Discharge Air Damper Open Cmd Pharmacy VAV_5S067_Dmp_Open,@p:ubcv:r:2391c9fe-fe59c9f3 Pharmacy Rm 5502 VAV-5S067 VAV_5S067_Dmp_Open,2020-01-07,2020-01-07 21:07:24,Pharmacy Floor 5,Pharmacy Rm 5502 VAV-5S067,Rm 5502 VAV-5S067,Discharge Air Damper Open Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_5S067_Dmp_Open,,omit,Bool
1000,Pharmacy AHU-10 RF Pharmacy Air Systems Alarm Pharmacy AHU10_RF_FAIL_AL_BV,@p:ubcv:r:236c8ae6-2c6cfc18 Pharmacy AHU-10 RF AHU10_RF_FAIL_AL_BV,2019-06-12,2019-06-12 23:28:46,Pharmacy Air Systems,Pharmacy AHU-10 RF,AHU-10 RF,Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,AHU10_RF_FAIL_AL_BV,,_,Bool
1001,Pharmacy Rm 1304 VAV-1S008 Pharmacy Floor 1 Operation Mode Pharmacy VAV_1S008_OperationMode,@p:ubcv:r:2391c092-a83897b7 Pharmacy Rm 1304 VAV-1S008 VAV_1S008_OperationMode,2019-11-19,2019-11-19 14:00:03,Pharmacy Floor 1,Pharmacy Rm 1304 VAV-1S008,Pharmacy Rm 1304 VAV-1S008,Operation Mode,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_1S008_OperationMode,,omit,Str
1002,Pharmacy AHU-15 Pharmacy Air Systems AHU15_EMEG_PWR_MODE Pharmacy AHU15_EMEG_PWR_MODE,@p:ubcv:r:236c8ab6-cc7554b3 Pharmacy AHU-15 AHU15_EMEG_PWR_MODE,2019-12-13,2019-12-13 15:51:56,Pharmacy Air Systems,Pharmacy AHU-15,AHU-15,AHU15_EMEG_PWR_MODE,@p:ubcv:r:20545206-9300bfc5 Pharmacy,AHU15_EMEG_PWR_MODE,,_,Bool
1003,Pharmacy Rm 3120 VAV-3S020 Pharmacy Floor 3 Discharge Air Damper Open Cmd Pharmacy VAV_3S020_Dmp_Open,@p:ubcv:r:236c8f85-ff57b359 Pharmacy Rm 3120 VAV-3S020 VAV_3S020_Dmp_Open,2020-01-07,2020-01-07 21:54:46,Pharmacy Floor 3,Pharmacy Rm 3120 VAV-3S020,Rm 3120 VAV-3S020,Discharge Air Damper Open Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_3S020_Dmp_Open,,_,Bool
1004,Pharmacy Cooling Plant Pharmacy Hydronic Systems CT_P6_LEAD_PUMP_FAIL_BV Pharmacy CT_P6_LEAD_PUMP_FAIL_BV,@p:ubcv:r:236c9051-500bfc3b Pharmacy Cooling Plant CT_P6_LEAD_PUMP_FAIL_BV,2019-10-15,2019-10-15 16:17:05,Pharmacy Hydronic Systems,Pharmacy Cooling Plant,Cooling Plant,CT_P6_LEAD_PUMP_FAIL_BV,@p:ubcv:r:20545206-9300bfc5 Pharmacy,CT_P6_LEAD_PUMP_FAIL_BV,,_,Bool
1005,Pharmacy EF-31 Pharmacy Air Systems Exhaust Fan Run Cmd Pharmacy EF_31_C,@p:ubcv:r:236c8a57-5c0fb7c7 Pharmacy EF-31 EF_31_C,2020-01-07,2020-01-07 14:30:00,Pharmacy Air Systems,Pharmacy EF-31,EF-31,Exhaust Fan Run Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,EF_31_C,,_,Bool
1006,Pharmacy Rm 6118 VAV-6S068 Pharmacy Floor 6 Discharge Air Damper Open Cmd Pharmacy VAV_6S068_Dmp_Open,@p:ubcv:r:236c8bba-984b523b Pharmacy Rm 6118 VAV-6S068 VAV_6S068_Dmp_Open,2020-01-07,2020-01-07 17:54:12,Pharmacy Floor 6,Pharmacy Rm 6118 VAV-6S068,Rm 6118 VAV-6S068,Discharge Air Damper Open Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_6S068_Dmp_Open,,_,Bool
