,id,ahu,ahuMode,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetObjectId,bacnetPoint,bmsName,boiler,bridgeName,chilled,chiller,close,cmd,co2,condenser,connRef,cool,cooling,coolingTower,cop,count,covTest,cur,curStatus,curVal,current,damper,delta,demand,differential,disMacro,disabled,discharge,effective,efficiency,elec,elecMeterLoad,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,filter,flow,gas,groupRef,heat,heating,heatingMode,highLim,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,kind,lastSynced,lastTagged,leaving,lim,lowLim,max,min,mixed,mode,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,open,outside,perimeterHeat,pharmAHU05_AV_Alarm,pharmAHU10_VAV_DMP,pharmAHU13_VAV_DMP,pharmAHU1415_AV_Alarm,pharmAHU1415_VAV_DMP,pharmAHU1617_AV_ALARM,pharmAHU1617_VAV_DMP,pharmAHU9_VAV_DMP,pharmCT,pharmHWblr,pharmHeatRejCV,pharmSTMblr,pharmSteamBoilers,pharm_LEF_AFLW,pharm_LEF_Power,pharm_SAV_Test,point,pointType,power,preFilter,pressure,primarySide,pump,quantityID,reliability,return,roomRef,run,runtime,scheduleOcc,secondarySide,sensor,shortName,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,sqlSource,static,submeterAdd,tagTableRef,tags,tank,temp,testUnits,tlName,toTag,tz,unit,utilityPoint,valve,vavMode,voltage,volume,water,wifi,wifiId,zone,mod,equipRefclean,groupRefclean,siteRefclean,uniqueId,uniqueId_nounit
5806,@p:ubcv:r:236c89d6-c7d75ed1 Pharmacy Rm 5206 EAV-5E069 5E069_VLV_FLOW_FDBK_AV,,,✓,,,@p:ubcv:r:236bb200-c61ba5ec PHARMA PHARM_L4~L6_LAB_TLOG2 Manager (703200),,TL15,,✓,5E069_VLV_FLOW_FDBK_AV,,,,,,,,,@p:ubcv:r:236bb200-c61ba5ec PHARMA PHARM_L4~L6_LAB_TLOG2 Manager (703200),,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:2437f94f-a87699d3 Pharmacy Rm 5206 EAV-5E069,✓,✓,,,,✓,,@p:ubcv:r:24353a1f-3e4e6d88 Pharmacy Floor 5,,,,,✓,,,,2020-06-05T08:45:00-07:00 Los_Angeles,,,,56118.0,2018-10-29T09:00:00-07:00 Los_Angeles,ok,,,,Number,2020-06-05T08:55:12.108-07:00 Los_Angeles,2018-11-28T16:33:00.743-08:00 Los_Angeles,,,,,,,,Exhaust Air Flow,,AV15,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,✓,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,@p:ubcv:r:245b883e-99bf586f (\d|B)E\d+_(.+_)?FLOW_FDBK(_AV)?(_TL)?,,,,,5E069_VLV_FLOW_FDBK_TL,,Los_Angeles,L/s,,,,,,,,,,2020-04-09T19:02:36.464Z UTC,Pharmacy Rm 5206 EAV-5E069,Pharmacy Floor 5,Pharmacy,Pharmacy Rm 5206 EAV-5E069 Pharmacy Floor 5 Exhaust Air Flow Pharmacy 5E069_VLV_FLOW_FDBK_AVL/s,Pharmacy Rm 5206 EAV-5E069 Pharmacy Floor 5 Exhaust Air Flow Pharmacy 5E069_VLV_FLOW_FDBK_AVL/s
5996,@p:ubcv:r:236c8d21-04c1f03c Pharmacy Unsorted Points LTG_RLY11,,,,,,@p:ubcv:r:236bb496-9a9c9e00 PHARMA PHARM_LTG_LVL5_WEST RM5107 (700501),,TL11,,✓,LTG_RLY11,,,,,,,,,@p:ubcv:r:236bb496-9a9c9e00 PHARMA PHARM_LTG_LVL5_WEST RM5107 (700501),,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:236c89d2-3e86ef2f Pharmacy Unsorted Points,✓,,,,,,,@p:ubcv:r:236c89d2-78fca1e4 Pharmacy Unsorted Points,,,,,✓,,,,,,,,,,ok,,,,Bool,2020-06-05T08:50:53.137-07:00 Los_Angeles,2018-11-28T16:32:47.237-08:00 Los_Angeles,,,,,,,,LTG_RLY11,✓,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,,,,,,LTG_RLY11_TL,,Los_Angeles,,,,,,,,,,,2020-04-08T23:17:37.459Z UTC,Pharmacy Unsorted Points,Pharmacy Unsorted Points,Pharmacy,Pharmacy Unsorted Points Pharmacy Unsorted Points LTG_RLY11 Pharmacy LTG_RLY11,Pharmacy Unsorted Points Pharmacy Unsorted Points LTG_RLY11 Pharmacy LTG_RLY11
5997,@p:ubcv:r:236c8ab6-ebeb87ae Pharmacy LEF-3 EF-3B EF3_F2_ENAB,,,,,,"@p:ubcv:r:236bb200-6dadd630 PHARMA PHARM_AHU14_15,EF3,SB1~2 (700900)",,TL17,,✓,EF3_F2_ENAB,,,,,,✓,,,"@p:ubcv:r:236bb200-6dadd630 PHARMA PHARM_AHU14_15,EF3,SB1~2 (700900)",,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,✓,,,,,@p:ubcv:r:24354342-98e78c4c Pharmacy LEF-3 EF-3B,✓,✓,✓,,,,,@p:ubcv:r:2203b248-b3a5eb9a Pharmacy Air Systems,,,,,✓,,,,2020-06-04T09:31:54-07:00 Los_Angeles,,,,18.0,2018-12-20T12:32:58-08:00 Los_Angeles,ok,,,,Bool,2020-06-05T08:45:16.371-07:00 Los_Angeles,2018-11-28T16:32:44.034-08:00 Los_Angeles,,,,,,,,Exhaust Fan Enable Cmd,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,@p:ubcv:r:24423bb9-3d9df396 (.+_)?EF_?\d+?_(F\d_)?ENAB(_TL)?,,,,,EF3_F2_ENAB_TL,,Los_Angeles,,,,,,,,,,,2020-05-02T12:14:31.342Z UTC,Pharmacy LEF-3 EF-3B,Pharmacy Air Systems,Pharmacy,Pharmacy LEF-3 EF-3B Pharmacy Air Systems Exhaust Fan Enable Cmd Pharmacy EF3_F2_ENAB,Pharmacy LEF-3 EF-3B Pharmacy Air Systems Exhaust Fan Enable Cmd Pharmacy EF3_F2_ENAB
5999,@p:ubcv:r:236c8ab6-04be2ce4 Pharmacy LEF-3 EF-3B EF3_F2_SPD_FB,,,✓,,,"@p:ubcv:r:236bb200-6dadd630 PHARMA PHARM_AHU14_15,EF3,SB1~2 (700900)",,TL55,,✓,EF3_F2_SPD_FB,,,,,,,,,"@p:ubcv:r:236bb200-6dadd630 PHARMA PHARM_AHU14_15,EF3,SB1~2 (700900)",,,,,,✓,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:24354342-98e78c4c Pharmacy LEF-3 EF-3B,✓,✓,✓,,,,,@p:ubcv:r:2203b248-b3a5eb9a Pharmacy Air Systems,,,,,✓,,,,2020-06-04T09:38:40-07:00 Los_Angeles,,,cov,209.0,2018-11-16T10:01:40-08:00 Los_Angeles,ok,,,,Number,2020-06-05T08:45:16.563-07:00 Los_Angeles,2018-11-28T16:32:31.146-08:00 Los_Angeles,,,,,,,,Exhaust Fan Speed,,AI2503,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,✓,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,✓,,,,,,@p:ubcv:r:24423d81-5e5a6858 (.+_)?EF\d_F\d_SPD_FB(_TL)?,,,,,EF3_F2_SPD_FB_TL,,Los_Angeles,%,,,,,,,,,,2020-05-02T12:14:31.371Z UTC,Pharmacy LEF-3 EF-3B,Pharmacy Air Systems,Pharmacy,Pharmacy LEF-3 EF-3B Pharmacy Air Systems Exhaust Fan Speed Pharmacy EF3_F2_SPD_FB%,Pharmacy LEF-3 EF-3B Pharmacy Air Systems Exhaust Fan Speed Pharmacy EF3_F2_SPD_FB%
6027,@p:ubcv:r:25f65877-b9ad8941 Pharmacy Unsorted Points AHU8_SCH(DAY),,,,,,"@p:ubcv:r:209d3409-5943c5d2 Pharmacy AHU-3~6,8 (700300)",,TL225,,,AHU8_SCH(DAY),,,,,,,,,"@p:ubcv:r:209d3409-5943c5d2 Pharmacy AHU-3~6,8 (700300)",,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:236c89d2-3e86ef2f Pharmacy Unsorted Points,✓,,,,,,,@p:ubcv:r:236c89d2-78fca1e4 Pharmacy Unsorted Points,,,,,✓,,,,,"folio::HisWriteErr: Mismatched value type, rec kind ""Str"" != item type ""haystack::Number"" [@p:ubcv:r:25f65877-b9ad8941 ""Pharmacy Unsorted Points AHU8_SCH(DAY)""]",,,,,fault,,,,Str,2020-06-02T16:27:58.359-07:00 Los_Angeles,,,,,,,,,Scheduled Occupancy,,SCH7,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,✓,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,@p:ubcv:r:24ede11b-a499e164 .+_SCH(.+)?(_TL)?,,,,,AHU8_SCH(DAY)_TL,,Los_Angeles,,,,,,,,,,,2020-04-08T18:48:57.45Z UTC,Pharmacy Unsorted Points,Pharmacy Unsorted Points,Pharmacy,Pharmacy Unsorted Points Pharmacy Unsorted Points Scheduled Occupancy Pharmacy AHU8_SCH(DAY),Pharmacy Unsorted Points Pharmacy Unsorted Points Scheduled Occupancy Pharmacy AHU8_SCH(DAY)
6072,@p:ubcv:r:236c8d21-32da8ddf Pharmacy Unsorted Points LTG_RLY4,,,,,,@p:ubcv:r:236bb496-9a9c9e00 PHARMA PHARM_LTG_LVL5_WEST RM5107 (700501),,TL4,,✓,LTG_RLY4,,,,,,,,,@p:ubcv:r:236bb496-9a9c9e00 PHARMA PHARM_LTG_LVL5_WEST RM5107 (700501),,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:236c89d2-3e86ef2f Pharmacy Unsorted Points,✓,,,,,,,@p:ubcv:r:236c89d2-78fca1e4 Pharmacy Unsorted Points,,,,,✓,,,,,,,,,,ok,,,,Bool,2020-06-05T08:50:53.801-07:00 Los_Angeles,2018-11-28T16:32:36.111-08:00 Los_Angeles,,,,,,,,LTG_RLY4,✓,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,,,,,,LTG_RLY4_TL,,Los_Angeles,,,,,,,,,,,2020-04-08T23:17:37.463Z UTC,Pharmacy Unsorted Points,Pharmacy Unsorted Points,Pharmacy,Pharmacy Unsorted Points Pharmacy Unsorted Points LTG_RLY4 Pharmacy LTG_RLY4,Pharmacy Unsorted Points Pharmacy Unsorted Points LTG_RLY4 Pharmacy LTG_RLY4
6082,@p:ubcv:r:236c8a6b-9a674e62 Pharmacy LEF-1 EF-1C EF1_F3_SPD,,,✓,,,"@p:ubcv:r:236bb200-176f7cdc PHARMA PHARM_AHU16~18,EF1 (701500)",,TL15,,✓,EF1_F3_SPD,,,,,,✓,,,"@p:ubcv:r:236bb200-176f7cdc PHARMA PHARM_AHU16~18,EF1 (701500)",,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:24354341-2f4e843b Pharmacy LEF-1 EF-1C,✓,✓,✓,,,,,@p:ubcv:r:2203b248-b3a5eb9a Pharmacy Air Systems,,,,,✓,,,,2020-01-08T11:55:08-08:00 Los_Angeles,,,,206.0,2018-11-08T02:33:22-08:00 Los_Angeles,ok,,,,Number,2020-06-05T08:45:16.666-07:00 Los_Angeles,2018-11-28T16:32:50.584-08:00 Los_Angeles,,,,,,,,Exhaust Fan Speed Cmd,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,✓,,,,,,@p:ubcv:r:245ce733-3ddc740a (.+_)?EF\d_F\d_SPD(_CMD)?(_TL)?,✓,,,,EF1_F3_SPD_TL,,Los_Angeles,%,,,,,,,,,,2020-04-09T19:02:33.9Z UTC,Pharmacy LEF-1 EF-1C,Pharmacy Air Systems,Pharmacy,Pharmacy LEF-1 EF-1C Pharmacy Air Systems Exhaust Fan Speed Cmd Pharmacy EF1_F3_SPD%,Pharmacy LEF-1 EF-1C Pharmacy Air Systems Exhaust Fan Speed Cmd Pharmacy EF1_F3_SPD%
6111,@p:ubcv:r:2391c021-c3258e5a Pharmacy EF-22 EF_22_FAIL_AL_BV_GV,,,,,,@p:ubcv:r:2391a768-60d5724c PHARMA PHARM_FF104/105/EF22(STRB) (701204),,TL16,,✓,EF_22_FAIL_AL_BV_GV,,,,,,,,,@p:ubcv:r:2391a768-60d5724c PHARMA PHARM_FF104/105/EF22(STRB) (701204),,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,"OFF,ON",,@p:ubcv:r:2437ce34-865d9609 Pharmacy EF-22,✓,,,,,,,@p:ubcv:r:2203b248-b3a5eb9a Pharmacy Air Systems,,,,,✓,,,,2018-12-20T12:35:54-08:00 Los_Angeles,,,,2.0,2018-12-20T12:33:35-08:00 Los_Angeles,ok,,,,Bool,2020-06-05T08:50:53.021-07:00 Los_Angeles,2018-11-28T16:32:49.613-08:00 Los_Angeles,,,,,,,,EF_22_FAIL_AL_BV_GV,✓,BV11,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,,,,,,EF_22_FAIL_AL_BV_GV_TL,,Los_Angeles,,,,,,,,,,,2020-04-08T18:53:32.075Z UTC,Pharmacy EF-22,Pharmacy Air Systems,Pharmacy,Pharmacy EF-22 Pharmacy Air Systems EF_22_FAIL_AL_BV_GV Pharmacy EF_22_FAIL_AL_BV_GV,Pharmacy EF-22 Pharmacy Air Systems EF_22_FAIL_AL_BV_GV Pharmacy EF_22_FAIL_AL_BV_GV
6150,@p:ubcv:r:236c9002-47271518 Pharmacy Unsorted Points LTG_RLY3,,,,,,@p:ubcv:r:236bb268-863b2f88 Pharmacy PHARM_BSMNT_LTG_B104 (700105),,TL3,,✓,LTG_RLY3,,,,,,,,,@p:ubcv:r:236bb268-863b2f88 Pharmacy PHARM_BSMNT_LTG_B104 (700105),,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:236c89d2-3e86ef2f Pharmacy Unsorted Points,✓,,,,,,,@p:ubcv:r:236c89d2-78fca1e4 Pharmacy Unsorted Points,,,,,✓,,,,,,,,,,ok,,,,Bool,2020-06-05T08:49:49.278-07:00 Los_Angeles,2018-11-28T16:32:36.111-08:00 Los_Angeles,,,,,,,,LTG_RLY3,✓,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,,,,,,LTG_RLY3_TL,,Los_Angeles,,,,,,,,,,,2020-04-08T23:17:37.467Z UTC,Pharmacy Unsorted Points,Pharmacy Unsorted Points,Pharmacy,Pharmacy Unsorted Points Pharmacy Unsorted Points LTG_RLY3 Pharmacy LTG_RLY3,Pharmacy Unsorted Points Pharmacy Unsorted Points LTG_RLY3 Pharmacy LTG_RLY3
6240,@p:ubcv:r:25978d5e-41e249fd Pharmacy Unsorted Points PHARM_TOT_WIFI_OCC,,,,,,@p:ubcv:r:20253080-7b224bda Pharmacy Main Router (700000),,TL15,,,PHARM_TOT_WIFI_OCC,,,,,,,,,@p:ubcv:r:20253080-7b224bda Pharmacy Main Router (700000),,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:236c89d2-3e86ef2f Pharmacy Unsorted Points,✓,,,,,,,@p:ubcv:r:236c89d2-78fca1e4 Pharmacy Unsorted Points,,,,,✓,,,,2020-06-05T08:47:00-07:00 Los_Angeles,,,,11696.0,2019-12-24T18:33:40-08:00 Los_Angeles,ok,,,,Number,2020-06-05T08:52:11.961-07:00 Los_Angeles,,,,,,,,,Occupancy Sensor,,AV4,✓,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,✓,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,@p:ubcv:r:23e65d0e-88249056 .+_OCC(_BV)?(_TL)?,,,,,PHARM_TOT_WIFI_OCC_COV_TL,,Los_Angeles,_,,,,,,,,,,2020-04-14T16:50:02.382Z UTC,Pharmacy Unsorted Points,Pharmacy Unsorted Points,Pharmacy,Pharmacy Unsorted Points Pharmacy Unsorted Points Occupancy Sensor Pharmacy PHARM_TOT_WIFI_OCC_,Pharmacy Unsorted Points Pharmacy Unsorted Points Occupancy Sensor Pharmacy PHARM_TOT_WIFI_OCC_
6291,@p:ubcv:r:236c8a57-924b6898 Pharmacy LEF-2 EF-2A EF2_F1_ENAB,,,,,,"@p:ubcv:r:236bb200-54317492 PHARMA PHARM_SB3~6,EF2,SMOKE_EF14~16 (701600)",,TL14,,✓,EF2_F1_ENAB,,,,,,✓,,,"@p:ubcv:r:236bb200-54317492 PHARMA PHARM_SB3~6,EF2,SMOKE_EF14~16 (701600)",,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,✓,,,,,@p:ubcv:r:24354341-12d81500 Pharmacy LEF-2 EF-2A,✓,✓,✓,,,,,@p:ubcv:r:2203b248-b3a5eb9a Pharmacy Air Systems,,,,,✓,,,,2018-12-20T14:28:54-08:00 Los_Angeles,,,,4.0,2018-12-20T12:51:43-08:00 Los_Angeles,ok,,,,Bool,2020-06-05T08:51:53.013-07:00 Los_Angeles,2018-11-28T16:32:38.698-08:00 Los_Angeles,,,,,,,,Exhaust Fan Enable Cmd,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,@p:ubcv:r:24423bb9-3d9df396 (.+_)?EF_?\d+?_(F\d_)?ENAB(_TL)?,,,,,EF2_F1_ENAB_TL,,Los_Angeles,,,,,,,,,,,2020-04-09T19:16:27.846Z UTC,Pharmacy LEF-2 EF-2A,Pharmacy Air Systems,Pharmacy,Pharmacy LEF-2 EF-2A Pharmacy Air Systems Exhaust Fan Enable Cmd Pharmacy EF2_F1_ENAB,Pharmacy LEF-2 EF-2A Pharmacy Air Systems Exhaust Fan Enable Cmd Pharmacy EF2_F1_ENAB
6310,@p:ubcv:r:236c8b3c-c0111f37 Pharmacy Unsorted Points LTG_RLY7,,,,,,@p:ubcv:r:236bb496-1077283c PHARMA PHARM_LTG_LVL6_WEST RM6107 (700527),,TL7,,✓,LTG_RLY7,,,,,,,,,@p:ubcv:r:236bb496-1077283c PHARMA PHARM_LTG_LVL6_WEST RM6107 (700527),,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:236c89d2-3e86ef2f Pharmacy Unsorted Points,✓,,,,,,,@p:ubcv:r:236c89d2-78fca1e4 Pharmacy Unsorted Points,,,,,✓,,,,,,,,,,ok,,,,Bool,2020-06-05T08:55:44.443-07:00 Los_Angeles,2018-11-28T16:32:36.096-08:00 Los_Angeles,,,,,,,,LTG_RLY7,✓,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,,,,,,LTG_RLY7_TL,,Los_Angeles,,,,,,,,,,,2020-04-08T23:17:37.026Z UTC,Pharmacy Unsorted Points,Pharmacy Unsorted Points,Pharmacy,Pharmacy Unsorted Points Pharmacy Unsorted Points LTG_RLY7 Pharmacy LTG_RLY7,Pharmacy Unsorted Points Pharmacy Unsorted Points LTG_RLY7 Pharmacy LTG_RLY7
6378,@p:ubcv:r:263d7fbb-a1e8dddf Pharmacy Heating Plant SBLR-3 PHARM_SB3_ALM,,,,✓,,@p:ubcv:r:236bb200-576198cd PHARMA PHARM_Steam_Blr_Router_CP703400 (703400),,TL79,,,PHARM_SB3_ALM,✓,,,,,,,,@p:ubcv:r:236bb200-576198cd PHARMA PHARM_Steam_Blr_Router_CP703400 (703400),,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,"OFF,ON",,@p:ubcv:r:2436ad45-2a8263a3 Pharmacy Heating Plant SBLR-3,✓,,,,,,,@p:ubcv:r:21698198-656d403f Pharmacy Hydronic Systems,,,,,✓,,,,2020-05-29T07:13:21-07:00 Los_Angeles,,,,28.0,2019-08-23T14:17:42-07:00 Los_Angeles,ok,,,,Bool,2020-06-05T08:45:11.762-07:00 Los_Angeles,,,,,,,,,Alarm,,BV419,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,✓,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,@p:ubcv:r:24e5eeff-534ef31c .+B\d_ALM(_TL)?,,,,,PHARM_SB3_ALM_COV_TL,,Los_Angeles,,,,,,,,,,,2020-04-30T12:23:25.166Z UTC,Pharmacy Heating Plant SBLR-3,Pharmacy Hydronic Systems,Pharmacy,Pharmacy Heating Plant SBLR-3 Pharmacy Hydronic Systems Alarm Pharmacy PHARM_SB3_ALM,Pharmacy Heating Plant SBLR-3 Pharmacy Hydronic Systems Alarm Pharmacy PHARM_SB3_ALM
6409,@p:ubcv:r:25f65877-4880d095 Pharmacy Unsorted Points AHU6_SCH(SPEC ON),,,,,,"@p:ubcv:r:209d3409-5943c5d2 Pharmacy AHU-3~6,8 (700300)",,TL222,,,AHU6_SCH(SPEC ON),,,,,,,,,"@p:ubcv:r:209d3409-5943c5d2 Pharmacy AHU-3~6,8 (700300)",,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:236c89d2-3e86ef2f Pharmacy Unsorted Points,✓,,,,,,,@p:ubcv:r:236c89d2-78fca1e4 Pharmacy Unsorted Points,,,,,✓,,,,,,,,,,ok,,,,Str,2020-06-05T08:45:17.751-07:00 Los_Angeles,,,,,,,,,Scheduled Occupancy,,SCH4,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,✓,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,@p:ubcv:r:24ede11b-a499e164 .+_SCH(.+)?(_TL)?,,,,,AHU6_SCH(SPEC.ON)_TL,,Los_Angeles,,,,,,,,,,,2020-04-08T18:48:56.915Z UTC,Pharmacy Unsorted Points,Pharmacy Unsorted Points,Pharmacy,Pharmacy Unsorted Points Pharmacy Unsorted Points Scheduled Occupancy Pharmacy AHU6_SCH(SPEC ON),Pharmacy Unsorted Points Pharmacy Unsorted Points Scheduled Occupancy Pharmacy AHU6_SCH(SPEC ON)
6439,@p:ubcv:r:236c8ab6-4e178617 Pharmacy LEF-3 EF-3C EF3_F3_SPD_FB,,,✓,,,"@p:ubcv:r:236bb200-6dadd630 PHARMA PHARM_AHU14_15,EF3,SB1~2 (700900)",,TL56,,✓,EF3_F3_SPD_FB,,,,,,,,,"@p:ubcv:r:236bb200-6dadd630 PHARMA PHARM_AHU14_15,EF3,SB1~2 (700900)",,,,,,✓,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:24354342-bf0f8c6e Pharmacy LEF-3 EF-3C,✓,✓,✓,,,,,@p:ubcv:r:2203b248-b3a5eb9a Pharmacy Air Systems,,,,,✓,,,,2020-06-04T09:38:26-07:00 Los_Angeles,,,cov,252.0,2018-11-16T10:01:39-08:00 Los_Angeles,ok,,,,Number,2020-06-05T08:45:16.527-07:00 Los_Angeles,2018-11-28T16:32:58.821-08:00 Los_Angeles,,,,,,,,Exhaust Fan Speed,,AI2504,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,✓,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,✓,,,,,,@p:ubcv:r:24423d81-5e5a6858 (.+_)?EF\d_F\d_SPD_FB(_TL)?,,,,,EF3_F3_SPD_FB_TL,,Los_Angeles,%,,,,,,,,,,2020-05-02T12:14:31.008Z UTC,Pharmacy LEF-3 EF-3C,Pharmacy Air Systems,Pharmacy,Pharmacy LEF-3 EF-3C Pharmacy Air Systems Exhaust Fan Speed Pharmacy EF3_F3_SPD_FB%,Pharmacy LEF-3 EF-3C Pharmacy Air Systems Exhaust Fan Speed Pharmacy EF3_F3_SPD_FB%
6482,@p:ubcv:r:236c8a57-bebbe31c Pharmacy Unsorted Points PHARM_STM_BLR3_6_ALM,,,,,,"@p:ubcv:r:236bb200-54317492 PHARMA PHARM_SB3~6,EF2,SMOKE_EF14~16 (701600)",,TL87,,✓,PHARM_STM_BLR3_6_ALM,,,,,,,,,"@p:ubcv:r:236bb200-54317492 PHARMA PHARM_SB3~6,EF2,SMOKE_EF14~16 (701600)",,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:236c89d2-3e86ef2f Pharmacy Unsorted Points,✓,,,,,,,@p:ubcv:r:236c89d2-78fca1e4 Pharmacy Unsorted Points,,,,,✓,,,,2020-06-05T07:20:05-07:00 Los_Angeles,,,,3862.0,2018-10-26T19:46:18-07:00 Los_Angeles,ok,,,,Bool,2020-06-05T08:51:53.697-07:00 Los_Angeles,2018-11-28T16:33:00.314-08:00 Los_Angeles,,,,,,,,PHARM_STM_BLR3_6_ALM,✓,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,,,,,,SB3_FWP_FAIL_AL_BV_TL,,Los_Angeles,,,,,,,,,,,2020-04-09T19:16:27.926Z UTC,Pharmacy Unsorted Points,Pharmacy Unsorted Points,Pharmacy,Pharmacy Unsorted Points Pharmacy Unsorted Points PHARM_STM_BLR3_6_ALM Pharmacy PHARM_STM_BLR3_6_ALM,Pharmacy Unsorted Points Pharmacy Unsorted Points PHARM_STM_BLR3_6_ALM Pharmacy PHARM_STM_BLR3_6_ALM
